Class,F1_Mean,F1_Std,F1_Min,F1_Max,Precision_Mean,Precision_Min,Recall_Mean,Recall_Min,TP_Sum,FN_Sum,FP_Sum,Total_Samples,Error_Rate
Apple___Apple_scab,0.9665823149602546,0.04738326906909832,0.8492063492063493,1.0,0.9766115493034099,0.8916666666666667,0.9570707070707071,0.8106060606060606,1516,68,35,1584,6.502525252525253
Apple___Black_rot,0.9883687566683442,0.013641687883510507,0.9578544061302682,1.0,0.9809010790484775,0.9328358208955224,0.9960629921259843,0.9763779527559056,1518,6,30,1524,2.3622047244094486
Apple___Cedar_apple_rust,0.9809017439968942,0.02010816932767975,0.9333333333333332,1.0,0.9945897932816538,0.9583333333333334,0.9680851063829787,0.8936170212765957,546,18,3,564,3.723404255319149
Apple___healthy,0.9833278353962877,0.017839301503206204,0.940119760479042,0.9955022488755624,0.9886828979591648,0.940119760479042,0.9780439121756487,0.940119760479042,3920,88,45,4008,3.318363273453094
Blueberry___healthy,0.9916513606877283,0.011562436856933585,0.9597423510466988,1.0,0.9887472481872712,0.952076677316294,0.9945887445887447,0.9675324675324676,3676,20,42,3696,1.6774891774891776
Cherry_(including_sour)___Powdery_mildew,0.9943286333982798,0.008402110089477402,0.9707317073170731,1.0,0.9939316762808929,0.9754901960784312,0.9947411003236247,0.9660194174757282,2459,13,15,2472,1.132686084142395
Cherry_(including_sour)___healthy,0.9895804940186332,0.0058215592287412,0.9774011299435028,0.9971509971509972,0.991024854080401,0.9719101123595506,0.9881628787878788,0.9829545454545454,2087,25,19,2112,2.083333333333333
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9050121629600222,0.03821887070709855,0.8110599078341014,0.9357798165137616,0.9210740316903688,0.822429906542056,0.8901515151515151,0.8,1175,145,101,1320,18.636363636363637
Corn_(maize)___Common_rust_,0.9950346309264838,0.004169429720735717,0.983050847457627,0.9978678038379531,0.9925948961135568,0.9747899159663864,0.9975071225071225,0.9914529914529916,2801,7,21,2808,0.9971509971509971
Corn_(maize)___Northern_Leaf_Blight,0.9438257678994387,0.020656138117733813,0.8907103825136612,0.959349593495935,0.9362890284295395,0.883248730964467,0.9517304189435337,0.8907103825136612,2090,106,143,2196,11.33879781420765
Corn_(maize)___healthy,0.9973794410765736,0.0039029069761368856,0.98744769874477,1.0,0.9951373391680324,0.979253112033195,0.999648382559775,0.9957805907172996,2843,1,14,2844,0.5274261603375527
Grape___Black_rot,0.9902248402500952,0.01449402323088013,0.951219512195122,1.0,0.9881344387381611,0.9322709163346612,0.9923928077455049,0.966804979253112,2870,22,35,2892,1.970954356846473
Grape___Esca_(Black_Measles),0.9951138694461057,0.007039254381511648,0.9770491803278688,1.0,0.9959288128411449,0.9838187702265372,0.9943181818181818,0.9675324675324676,3675,21,15,3696,0.974025974025974
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9951441873809371,0.006367601418517632,0.980561555075594,1.0,0.9946395818048422,0.9744680851063828,0.9956709956709956,0.9826839826839828,2760,12,15,2772,0.974025974025974
Grape___healthy,0.9909755529362702,0.006561708058273434,0.9818181818181818,1.0,0.9890502983444333,0.9761904761904762,0.9929718875502008,0.9759036144578314,989,7,11,996,1.8072289156626504
Orange___Haunglongbing_(Citrus_greening),0.9992908546240806,0.0015153548729452827,0.9947990543735226,1.0,0.9994482726552482,0.9952696310312203,0.9991335853812223,0.994328922495274,12685,11,7,12696,0.14177693761814747
Peach___Bacterial_spot,0.9933055988888588,0.01201622313939145,0.96,1.0,0.9937189626396895,0.955503512880562,0.9929078014184397,0.9645390070921984,5040,36,32,5076,1.3396375098502757
Peach___healthy,0.990369838522548,0.019209937997662494,0.9324324324324323,1.0,0.9844250180245133,0.9078947368421052,0.9965277777777778,0.9583333333333334,861,3,14,864,1.9675925925925926
"Pepper,_bell___Bacterial_spot",0.9899736260538194,0.01853429520681454,0.9337175792507204,1.0,0.9908763892589718,0.9473684210526316,0.9891098484848485,0.9204545454545454,2089,23,19,2112,1.9886363636363635
"Pepper,_bell___healthy",0.989641778123874,0.013803635692944988,0.954468802698145,0.9982847341337908,0.9896039502291405,0.9401993355481728,0.9897260273972602,0.9691780821917808,3468,36,37,3504,2.083333333333333
Potato___Early_blight,0.9933296089467266,0.01353108963810526,0.9614512471655328,1.0,0.9905909828993581,0.9422222222222222,0.996141975308642,0.9722222222222222,2582,10,25,2592,1.3503086419753085
Potato___Late_blight,0.9784970006473951,0.030979359011406315,0.888888888888889,0.9976470588235292,0.9766305716142981,0.8952380952380953,0.9804381846635367,0.8826291079812206,2506,50,60,2556,4.303599374021909
Potato___healthy,0.9759918132868952,0.038107819056721504,0.8923076923076922,1.0,0.9741854716024342,0.8529411764705882,0.978494623655914,0.8709677419354839,364,8,10,372,4.838709677419355
Raspberry___healthy,0.9914337145560576,0.014555654183967018,0.9523809523809524,1.0,0.9887829610432349,0.9333333333333332,0.9942129629629629,0.9722222222222222,859,5,10,864,1.7361111111111112
Soybean___healthy,0.9963029819001726,0.0037176040949784056,0.9869249394673124,0.9990347490347492,0.9958277502938536,0.987535953978907,0.9967855994856959,0.982642237222758,12404,40,52,12444,0.7393121182899389
Squash___Powdery_mildew,0.9959500196384159,0.005641713951758637,0.9815789473684212,0.9986859395532194,0.9947580128758577,0.9815789473684212,0.9971491228070176,0.9815789473684212,4547,13,24,4560,0.8114035087719298
Strawberry___Leaf_scorch,0.9938421032693109,0.00940260534217594,0.9689737470167064,1.0,0.9944330523277891,0.971291866028708,0.9932539682539683,0.9666666666666668,2503,17,14,2520,1.2301587301587302
Strawberry___healthy,0.9949621846606771,0.00885307394806848,0.9748743718592964,1.0,0.9941414141414141,0.97,0.9957912457912458,0.9797979797979798,1183,5,7,1188,1.0101010101010102
Tomato___Bacterial_spot,0.9902479440506111,0.010440704298997502,0.96113074204947,0.9988304093567252,0.9894741527462386,0.9691211401425178,0.9910436137071651,0.9532710280373832,5090,46,54,5136,1.9470404984423675
Tomato___Early_blight,0.9555677381438318,0.04775821419782383,0.8409703504043127,0.994475138121547,0.9645848517565342,0.8210526315789474,0.9470534069981583,0.861878453038674,2057,115,77,2172,8.83977900552486
Tomato___Late_blight,0.975126358273776,0.02871851847433264,0.9039692701664532,0.9926108374384236,0.9797397636780883,0.9388297872340424,0.9707818930041152,0.8716049382716049,4718,142,96,4860,4.897119341563786
Tomato___Leaf_Mold,0.9819361950395212,0.034956449134536494,0.8852459016393444,1.0,0.9806338355472688,0.8709677419354839,0.9833333333333333,0.9,2124,36,43,2160,3.657407407407407
Tomato___Septoria_leaf_spot,0.9834066621004255,0.02797619967002741,0.9040333796940196,0.9972602739726028,0.9858177761606365,0.9180790960451978,0.9810502283105024,0.8904109589041096,4297,83,61,4380,3.287671232876712
Tomato___Spider_mites Two-spotted_spider_mite,0.9841634828882633,0.024659347869005394,0.913312693498452,1.0,0.9887060323490587,0.9485530546623794,0.9798507462686566,0.8805970149253731,3939,81,44,4020,3.109452736318408
Tomato___Target_Spot,0.978335453692659,0.030507647979216426,0.8888888888888888,0.9964912280701756,0.9740560864515276,0.8767123287671232,0.98268779342723,0.9014084507042254,3349,59,90,3408,4.37206572769953
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9972187007047358,0.003860506867357972,0.985452839042703,0.9995289684408856,0.996249448306398,0.9813084112149532,0.9981935281181274,0.9896324222431668,12709,23,48,12732,0.5576500157084511
Tomato___Tomato_mosaic_virus,0.9909039749465282,0.023494115800953383,0.9189189189189187,1.0,0.9847178728618049,0.8717948717948718,0.9976190476190476,0.9714285714285714,838,2,14,840,1.9047619047619049
Tomato___healthy,0.9946478007803649,0.00827220370746069,0.968944099378882,0.9984202211690364,0.9919958281438291,0.951219512195122,0.9973628691983123,0.9873417721518988,3782,10,31,3792,1.0812236286919832
